Country_Name,Regional_Indicator,Continent,Year,Log_GDP_Per_Capita,Social_Support,Healthy_Life_Expectancy_At_Birth,Freedom_To_Make_Life_Choices,Perceptions_Of_Corruption,Life_Ladder,Generosity
South Korea,East Asia,Asia,2022,10.72598648,0.81003511,73.92500305,0.723479927,0.747344434,5.950013638,0.00342142
Spain,Western Europe,Europe,2022,10.58749199,0.933899879,72.47499847,0.781408846,0.673111916,6.336902142,0.00120831
Sri Lanka,South Asia,Asia,2022,9.502015114,0.812373936,67.19999695,0.771430016,0.848541498,4.10344696,-0.011509877
State of Palestine,Eastern Mediterranean,Asia,2022,3.578524605,0.859654725,74.4,0.69485271,0.835794926,4.907760143,-0.132369906
Sweden,Western Europe,Europe,2022,10.91266155,0.949338436,72.27500153,0.939461946,0.213236347,7.431214333,0.234011218
Switzerland,Western Europe,Europe,2022,11.18412018,0.880787432,73.09999847,0.848361075,0.234620094,6.883844376,0.128131226
Taiwan,East Asia,Asia,2022,4.515290862,0.882819533,79.84,0.800191641,0.657555938,6.246744156,0
Tajikistan,Commonwealth of Independent States,Asia,2022,8.269582748,0.882888913,62.29999924,0.832002461,0.498924732,5.286824226,-0.068064049
Tanzania,Sub-Saharan Africa,Africa,2022,7.871555328,0.600180984,59.84999847,0.856139898,0.584417045,3.615845203,0.136041611
Thailand,Southeast Asia,Asia,2022,9.777226448,0.866995156,68.52500153,0.880613744,0.867953539,6.007117271,0.301083535
Togo,Sub-Saharan Africa,Africa,2022,7.685194492,0.57893008,57.70000076,0.695722461,0.713181138,4.238982201,0.006935479
Tunisia,Middle East and North Africa,Africa,2022,9.265902519,0.754739821,67.05000305,0.474189252,0.908436537,4.260868073,-0.230852157
Turkiye,West Asia,Asia,2022,10.35668087,0.736194909,68.75,0.44652763,0.810165942,4.366639614,-0.036791019
Uganda,Sub-Saharan Africa,Africa,2022,7.717090607,0.793349564,59.15000153,0.710621119,0.835011721,4.224533558,0.084252886
Ukraine,Commonwealth of Independent States,Europe,2022,9.049329758,0.863068104,64.67500305,0.829034388,0.851863027,4.63743639,0.427582234
United Arab Emirates,Middle East and North Africa,Middle East,2022,11.20181751,0.797737062,66.44999695,0.93229568,0.355115891,6.737605572,0.170801714
United Kingdom,Western Europe,Europe,2022,10.75374222,0.8634395,70.40000153,0.857062578,0.426054806,6.721779823,0.309394181
United States of America,North America and ANZ,North America,2022,11.07859612,0.900261819,65.72499847,0.735639811,0.701127529,6.959087849,0.190033197
Uruguay,Latin America and Caribbean,South America,2022,10.08412075,0.904825211,67.5,0.877968609,0.631336689,6.670852661,-0.051668242
Uzbekistan,Commonwealth of Independent States,Asia,2022,8.989866257,0.878923297,65.59999847,0.959019244,0.615844429,6.016238689,0.308950752
Venezuela,Latin America and Caribbean,South America,2022,3.538969395,0.899366319,63.875,0.770416737,0.798016429,5.948992252,0
Vietnam,Southeast Asia,Asia,2022,9.332854271,0.878744006,65.59999847,0.975405157,0.703422904,6.266508579,-0.178986996
Zambia,Sub-Saharan Africa,Africa,2022,8.082337379,0.619071007,55.25,0.832573771,0.824030817,3.082154989,0.141229719
Zimbabwe,Sub-Saharan Africa,Africa,2022,7.670122623,0.666171908,54.52500153,0.651987135,0.752632082,3.296219587,-0.069513284
